time,gFx,gFy,gFz,TgF
1.286000,0.1856,0.3234,0.8691,0.908
1.298000,0.1827,0.3272,0.8603,0.901
1.306000,0.1885,0.3253,0.8661,0.907
1.318000,0.1895,0.3283,0.8535,0.896
1.326000,0.1914,0.3321,0.8496,0.894
1.336000,0.1963,0.3331,0.8622,0.907
1.346000,0.2042,0.3321,0.8505,0.896
1.358000,0.2002,0.3292,0.8730,0.916
1.366000,0.1993,0.3253,0.8603,0.903
1.379000,0.1885,0.3243,0.8622,0.903
1.395000,0.1797,0.3234,0.8515,0.891
1.398000,0.1670,0.3194,0.8593,0.896
1.413000,0.1767,0.3351,0.8554,0.898
1.419000,0.1865,0.3429,0.8652,0.911
1.429000,0.1963,0.3419,0.8818,0.928
1.436000,0.2130,0.3400,0.8936,0.940
1.446000,0.2158,0.3409,0.8887,0.937
1.457000,0.2315,0.3360,0.8936,0.942
1.466000,0.2266,0.3292,0.8964,0.942
1.479000,0.2296,0.3331,0.8857,0.934
1.495000,0.2119,0.3331,0.8671,0.913
1.497000,0.2021,0.3234,0.8505,0.893
1.506000,0.1885,0.3243,0.8466,0.888
1.516000,0.1827,0.3272,0.8554,0.896
1.526000,0.1836,0.3360,0.8466,0.891
1.539000,0.2002,0.3488,0.8584,0.909
1.546000,0.2179,0.3556,0.8682,0.923
1.558000,0.2354,0.3595,0.8818,0.940
1.566000,0.2482,0.3693,0.8779,0.942
1.576000,0.2305,0.3800,0.8671,0.932
1.590000,0.2207,0.3702,0.8476,0.909
1.596000,0.2139,0.3565,0.8417,0.898
1.606000,0.2100,0.3448,0.8349,0.887
1.621000,0.2070,0.3546,0.8212,0.877
1.626000,0.2021,0.3448,0.8330,0.884
1.636000,0.2021,0.3516,0.8212,0.875
1.646000,0.2002,0.3634,0.8134,0.872
1.656000,0.1944,0.3654,0.8104,0.869
1.668000,0.1924,0.3683,0.8242,0.883
1.676000,0.1885,0.3693,0.8330,0.891
1.687000,0.1983,0.3634,0.8535,0.909
1.696000,0.2217,0.3654,0.8652,0.924
1.712000,0.2354,0.3644,0.8682,0.929
1.719000,0.2501,0.3634,0.8671,0.930
1.729000,0.2569,0.3702,0.8584,0.926
1.738000,0.2618,0.3576,0.8496,0.914
1.746000,0.2520,0.3458,0.8466,0.906
1.756000,0.2364,0.3507,0.8437,0.902
1.766000,0.2070,0.3516,0.8358,0.890
1.776000,0.1914,0.3683,0.8388,0.896
1.786000,0.1885,0.3712,0.8427,0.900
1.797000,0.1904,0.3800,0.8466,0.907
1.814000,0.2149,0.3722,0.8661,0.926
1.817000,0.2296,0.3722,0.8769,0.938
1.831000,0.2373,0.3576,0.8710,0.929
1.839000,0.2482,0.3595,0.8769,0.937
1.853000,0.2237,0.3537,0.8671,0.922
1.856000,0.2237,0.3537,0.8671,0.922
1.866000,0.2149,0.3488,0.8622,0.914
1.876000,0.2051,0.3488,0.8505,0.902
1.886000,0.2158,0.3351,0.8720,0.919
1.902000,0.2266,0.3497,0.8808,0.934
1.906000,0.2266,0.3478,0.8857,0.938
1.916000,0.2256,0.3565,0.8759,0.931
1.926000,0.2179,0.3614,0.8661,0.923
1.939000,0.1973,0.3595,0.8633,0.916
1.949000,0.2042,0.3605,0.8671,0.921
1.956000,0.2042,0.3663,0.8682,0.924
1.966000,0.2110,0.3585,0.8691,0.923
1.980000,0.2149,0.3614,0.8642,0.921
1.986000,0.2433,0.3516,0.8759,0.933
2.001000,0.2491,0.3516,0.8701,0.929
2.008000,0.2520,0.3507,0.8779,0.936
2.016000,0.2461,0.3576,0.8710,0.931
2.031000,0.2413,0.3516,0.8682,0.925
2.036000,0.2149,0.3614,0.8612,0.918
2.050000,0.2070,0.3761,0.8710,0.931
2.056000,0.2090,0.3712,0.8633,0.922
2.066000,0.2276,0.3712,0.8691,0.931
2.085000,0.2364,0.3702,0.8750,0.937
2.087000,0.2442,0.3751,0.8671,0.933
2.096000,0.2482,0.3830,0.8642,0.934
2.106000,0.2579,0.3791,0.8682,0.938
2.119000,0.2589,0.3830,0.8701,0.941
2.132000,0.2569,0.3742,0.8779,0.945
2.136000,0.2384,0.3849,0.8710,0.939
2.149000,0.2110,0.3928,0.8593,0.927
2.156000,0.2012,0.3986,0.8584,0.927
2.166000,0.2139,0.3898,0.8633,0.930
2.180000,0.2452,0.3937,0.8682,0.941
2.186000,0.2589,0.4005,0.8652,0.944
2.199000,0.2755,0.3917,0.8661,0.945
2.213000,0.2755,0.4094,0.8417,0.929
2.216000,0.2745,0.4035,0.8398,0.925
2.229000,0.2804,0.4024,0.8290,0.916
2.236000,0.2852,0.4005,0.8379,0.925
2.246000,0.2804,0.4122,0.8358,0.926
2.266000,0.2706,0.4133,0.8281,0.918
2.268000,0.2569,0.4191,0.8251,0.915
2.280000,0.2442,0.4289,0.8104,0.903
2.286000,0.2471,0.4357,0.8095,0.906
2.297000,0.2413,0.4406,0.8076,0.905
2.312000,0.2569,0.4328,0.8172,0.913
2.317000,0.2706,0.4318,0.8242,0.922
2.327000,0.2774,0.4377,0.8134,0.917
2.336000,0.2823,0.4289,0.8183,0.918
2.346000,0.2892,0.4299,0.8163,0.919
2.359000,0.2833,0.4289,0.8153,0.916
2.366000,0.2774,0.4299,0.8183,0.917
2.377000,0.2657,0.4367,0.8124,0.913
2.392000,0.2344,0.4474,0.8172,0.915
2.398000,0.2286,0.4504,0.8242,0.922
2.406000,0.2158,0.4494,0.8193,0.915
2.416000,0.2286,0.4464,0.8319,0.927
2.429000,0.2589,0.4396,0.8300,0.928
2.438000,0.2823,0.4416,0.8398,0.942
2.448000,0.2999,0.4485,0.8368,0.947
2.456000,0.3155,0.4494,0.8379,0.952
2.467000,0.3185,0.4406,0.8193,0.933
2.478000,0.3067,0.4436,0.8183,0.930
2.491000,0.3038,0.4426,0.8095,0.922
2.497000,0.3009,0.4445,0.8036,0.917
2.506000,0.3009,0.4406,0.8046,0.916
2.516000,0.3116,0.4426,0.8085,0.923
2.526000,0.3165,0.4582,0.8183,0.939
2.538000,0.3283,0.4533,0.8456,0.964
2.546000,0.3185,0.4562,0.8379,0.956
2.559000,0.3106,0.4455,0.8417,0.953
2.572000,0.3078,0.4445,0.8300,0.941
2.576000,0.3204,0.4289,0.8134,0.923
2.586000,0.3390,0.4328,0.8281,0.943
2.596000,0.3321,0.4436,0.8134,0.933
2.608000,0.3136,0.4396,0.7909,0.907
2.619000,0.3078,0.4611,0.7782,0.904
2.626000,0.2872,0.4709,0.7616,0.890
2.636000,0.2736,0.4856,0.7645,0.896
2.648000,0.2784,0.4865,0.7606,0.894
2.656000,0.2852,0.5012,0.7636,0.906
2.671000,0.2843,0.4993,0.7616,0.903
2.677000,0.2872,0.5119,0.7616,0.910
2.687000,0.2872,0.5227,0.7557,0.911
2.696000,0.3048,0.5266,0.7616,0.922
2.708000,0.3087,0.5286,0.7567,0.920
2.717000,0.3165,0.5412,0.7636,0.934
2.726000,0.3058,0.5491,0.7538,0.928
2.739000,0.2980,0.5559,0.7528,0.929
2.746000,0.2969,0.5715,0.7410,0.928
2.756000,0.3029,0.5774,0.7333,0.927
2.767000,0.3097,0.5901,0.7226,0.928
2.776000,0.3204,0.5920,0.7226,0.932
2.786000,0.3272,0.6018,0.7117,0.931
2.796000,0.3312,0.5941,0.7137,0.929
2.806000,0.3321,0.5794,0.7079,0.917
2.816000,0.3302,0.5677,0.7059,0.908
2.826000,0.3341,0.5687,0.7108,0.913
2.836000,0.3624,0.5813,0.7156,0.933
2.848000,0.3586,0.5755,0.7088,0.923
2.856000,0.3732,0.5872,0.7156,0.939
2.866000,0.3605,0.5823,0.7068,0.926
2.876000,0.3458,0.5715,0.7030,0.912
2.886000,0.3272,0.5677,0.7049,0.906
2.901000,0.3195,0.5677,0.7117,0.909
2.906000,0.3234,0.5696,0.7137,0.913
2.916000,0.3390,0.5618,0.7313,0.926
2.926000,0.3527,0.5569,0.7264,0.924
2.938000,0.3742,0.5540,0.7235,0.927
2.947000,0.3947,0.5559,0.7480,0.954
2.956000,0.4035,0.5638,0.7518,0.964
2.966000,0.4015,0.5628,0.7557,0.966
2.976000,0.3771,0.5579,0.7480,0.949
2.986000,0.3684,0.5647,0.7499,0.951
2.999000,0.3498,0.5745,0.7499,0.951
3.006000,0.3302,0.5706,0.7450,0.940
3.016000,0.3067,0.5550,0.7499,0.928
3.029000,0.3106,0.5501,0.7518,0.928
3.036000,0.3097,0.5217,0.7371,0.901
3.046000,0.3644,0.5179,0.7694,0.941
3.056000,0.4220,0.5286,0.7978,0.988
3.066000,0.4602,0.5315,0.8085,1.012
3.077000,0.4367,0.5324,0.8046,1.001
3.086000,0.3791,0.5041,0.7596,0.931
3.096000,0.3537,0.4963,0.7538,0.914
3.106000,0.3214,0.4993,0.7186,0.877
3.116000,0.3234,0.5149,0.7362,0.900
3.127000,0.3507,0.5373,0.7538,0.934
3.136000,0.3742,0.5276,0.7557,0.938
3.146000,0.4006,0.5305,0.7850,0.971
3.156000,0.4103,0.5393,0.7850,0.979
3.166000,0.4329,0.5266,0.7850,0.981
3.176000,0.4357,0.5198,0.7802,0.975
3.186000,0.4348,0.5110,0.7713,0.963
3.196000,0.4406,0.5051,0.7664,0.959
3.206000,0.4602,0.4944,0.7596,0.956
3.220000,0.4739,0.4885,0.7606,0.960
3.229000,0.4670,0.4680,0.7636,0.950
3.236000,0.4162,0.4562,0.7450,0.909
3.246000,0.3654,0.4553,0.7128,0.865
