time,gFx,gFy,gFz,TgF
1.266000,-0.2776,0.1778,0.9229,0.983
1.272000,-0.2824,0.1836,0.9267,0.990
1.284000,-0.2844,0.1816,0.9278,0.991
1.292000,-0.2863,0.1836,0.9169,0.982
1.302000,-0.2834,0.1827,0.9209,0.984
1.322000,-0.2932,0.1885,0.9180,0.986
1.323000,-0.2765,0.1836,0.9180,0.979
1.332000,-0.2883,0.1806,0.9190,0.984
1.342000,-0.2834,0.1874,0.9209,0.985
1.351000,-0.2814,0.1748,0.9278,0.989
1.364000,-0.2902,0.1797,0.9190,0.985
1.371000,-0.2902,0.1827,0.9169,0.983
1.382000,-0.2951,0.1874,0.9120,0.981
1.392000,-0.2873,0.1827,0.9150,0.980
1.403000,-0.2863,0.1836,0.9199,0.985
1.418000,-0.2942,0.1865,0.9120,0.981
1.423000,-0.2902,0.1846,0.9111,0.978
1.432000,-0.2834,0.1836,0.9209,0.985
1.441000,-0.2922,0.1885,0.9033,0.972
1.451000,-0.2922,0.1895,0.9160,0.984
1.464000,-0.2991,0.1914,0.9169,0.988
1.472000,-0.2922,0.1904,0.9150,0.983
1.482000,-0.2912,0.1874,0.9258,0.992
1.492000,-0.2863,0.1874,0.9180,0.983
1.503000,-0.2854,0.1767,0.9238,0.987
1.519000,-0.2961,0.1787,0.9141,0.982
1.524000,-0.2971,0.1748,0.9082,0.977
1.535000,-0.2991,0.1778,0.9131,0.982
1.548000,-0.2863,0.1778,0.9218,0.986
1.560000,-0.2756,0.1914,0.9131,0.976
1.564000,-0.2727,0.1914,0.9238,0.985
1.571000,-0.2746,0.1865,0.9267,0.987
1.582000,-0.2814,0.1846,0.9199,0.983
1.597000,-0.2873,0.1865,0.9190,0.985
1.604000,-0.2942,0.1816,0.9043,0.973
1.612000,-0.2942,0.1787,0.9013,0.970
1.622000,-0.2912,0.1904,0.9033,0.972
1.643000,-0.2854,0.1914,0.9160,0.982
1.644000,-0.2854,0.1914,0.9160,0.982
1.654000,-0.2834,0.1885,0.9209,0.985
1.664000,-0.2795,0.1904,0.9180,0.981
1.676000,-0.2893,0.1865,0.9141,0.981
1.682000,-0.2873,0.1806,0.9180,0.983
1.693000,-0.2912,0.1797,0.9209,0.987
1.702000,-0.2951,0.1846,0.9150,0.984
1.711000,-0.2971,0.1836,0.9180,0.987
1.733000,-0.2912,0.1816,0.9169,0.983
1.735000,-0.2854,0.1855,0.9160,0.981
1.745000,-0.2873,0.1855,0.9218,0.987
1.751000,-0.2844,0.1778,0.9238,0.987
1.762000,-0.2893,0.1895,0.9258,0.992
1.775000,-0.2883,0.1865,0.9267,0.992
1.782000,-0.2922,0.1738,0.9160,0.982
